course_name,source_channel,tee_date,total_slots,occupied_slots,occupancy_percent,avg_minutes_available,average_price,min_price,max_price,market_min_price,market_avg_price,market_max_price,price_gap_percent,price_position_flag,demand_pressure,revenue_efficiency_score,as_of_date,avg_price,occ_percent,market_avg,market_min,market_max,avg_price_avg,Row,tee_time,brand_current_price,golfnow_current_price,teeoff_current_price,supremegolf_current_price,brand_availability_status,golfnow_availability_status,teeoff_availability_status,supremegolf_availability_status,overall_availability_status
ironwood_golf_club,teeoff,2025-01-02,82.81,83.41,108.55,5294.23,67.89,55.66,80.69,41.61,59.98,113.47,14.49,ABOVE_AVERAGE,HIGH_DEMAND,4.2,2026-05-05,70.94,-0.72,62.39,39.53,107.72,69.9,235.24,11:00 AM,60.63,56.27,64.83,64.28,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,teeoff,2025-01-03,38.2,33.01,100.16,6168.82,70.96,41.1,103.49,42.76,75.49,98.95,13.4,ABOVE_AVERAGE,HIGH_DEMAND,4.48,2026-05-09,75.14,105.75,61.74,41.0,103.71,71.03,265.54,11:00 AM,60.51,56.38,63.02,63.56,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,brand,2025-01-03,61.62,24.5,51.13,8562.45,81.54,72.56,100.72,34.35,51.37,86.38,64.69,ABOVE_AVERAGE,LOW_DEMAND,3.32,2026-05-06,98.71,10.55,60.36,41.13,94.69,82.85,244.77,11:00 AM,50.58,57.79,57.86,68.12,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,supremegolf,2025-01-03,92.32,88.08,109.64,7136.58,51.51,42.75,63.84,38.1,52.63,95.0,-11.67,BELOW_AVERAGE,HIGH_DEMAND,5.0,2026-05-04,62.5,33.59,59.48,42.1,88.55,67.91,241.08,11:00 AM,53.54,53.2,63.68,58.69,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,golfnow,2025-01-03,46.81,42.7,109.65,6055.2,42.18,26.01,54.67,36.32,68.91,101.37,-40.76,BELOW_AVERAGE,HIGH_DEMAND,5.67,2026-05-07,36.83,114.08,65.61,46.77,105.38,40.55,226.5,11:00 AM,59.56,62.88,54.77,62.29,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,golfnow,2025-01-03,46.69,43.94,117.38,7927.87,50.99,42.09,50.61,45.02,66.75,110.96,-36.93,BELOW_AVERAGE,HIGH_DEMAND,4.78,2026-05-07,46.43,4.01,65.42,38.29,95.57,51.6,226.89,11:00 AM,58.82,54.4,62.69,66.32,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,brand,2025-01-03,78.67,75.35,108.61,5168.86,53.58,34.76,68.97,37.26,58.08,89.17,-4.43,BELOW_AVERAGE,HIGH_DEMAND,5.15,2026-05-05,61.93,5.9,55.95,41.61,96.22,64.53,272.66,2:52 PM,49.23,45.7,44.93,51.87,ADDED_AND_SOLD,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
ironwood_golf_club,teeoff,2025-01-03,75.83,73.03,104.91,1902.93,49.22,37.34,62.58,39.05,54.69,86.53,-11.89,BELOW_AVERAGE,HIGH_DEMAND,4.9,2026-05-05,48.08,100.09,55.42,41.56,94.82,47.69,258.48,11:00 AM,59.8,55.47,62.44,56.84,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,supremegolf,2025-01-04,71.46,63.82,114.89,7511.4,61.83,48.71,76.7,35.74,58.7,93.23,17.6,ABOVE_AVERAGE,HIGH_DEMAND,4.78,2026-05-05,61.06,6.06,53.27,43.24,82.09,58.7,229.65,11:00 AM,56.82,58.78,65.93,59.44,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,golfnow,2025-01-04,49.91,50.47,116.38,8848.59,88.99,73.3,112.55,35.38,54.09,78.16,66.76,ABOVE_AVERAGE,HIGH_DEMAND,4.61,2026-05-04,66.11,32.53,65.85,38.32,100.9,59.06,260.84,11:00 AM,56.42,56.99,59.42,59.5,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,supremegolf,2025-01-04,44.78,44.31,112.2,384.75,52.76,32.71,57.19,42.73,53.7,100.47,-13.2,BELOW_AVERAGE,HIGH_DEMAND,4.99,2026-05-04,64.06,31.74,64.41,43.7,95.43,61.61,257.04,11:00 AM,58.17,51.64,65.91,61.31,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,teeoff,2025-01-04,42.95,41.62,108.88,6147.09,39.95,29.01,48.16,39.88,62.34,85.62,-29.5,BELOW_AVERAGE,HIGH_DEMAND,6.11,2026-05-04,67.36,33.55,65.58,38.47,98.94,62.03,256.64,11:00 AM,50.22,60.35,58.79,65.22,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,teeoff,2025-01-04,73.2,69.21,118.43,8964.49,36.14,28.93,43.16,36.19,53.82,95.0,-41.66,BELOW_AVERAGE,HIGH_DEMAND,5.81,2026-05-04,59.84,28.64,56.77,44.95,90.32,65.55,240.74,11:00 AM,57.42,55.03,64.7,59.43,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,golfnow,2025-01-04,66.6,11.01,21.8,10694.3,56.99,40.95,70.44,38.85,61.22,88.64,7.86,ABOVE_AVERAGE,LOW_DEMAND,3.21,2026-05-05,65.9,2.71,57.92,40.44,95.2,68.55,302.24,2:30 PM,53.9,46.34,49.83,54.36,NEVER_LISTED,STILL_AVAILABLE,STILL_AVAILABLE,STILL_AVAILABLE,OTA_ONLY
ironwood_golf_club,brand,2025-01-04,50.02,44.45,109.3,3229.05,56.61,45.86,85.49,39.79,71.24,113.44,-7.34,BELOW_AVERAGE,HIGH_DEMAND,4.77,2026-05-08,59.07,96.31,66.6,35.62,96.38,70.79,243.24,11:00 AM,55.92,60.49,66.16,59.33,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,golfnow,2025-01-05,53.57,9.01,18.85,767.15,73.07,59.28,95.91,37.96,62.3,111.43,25.77,ABOVE_AVERAGE,LOW_DEMAND,3.03,2026-05-04,61.26,31.93,63.55,44.42,94.18,61.55,225.23,11:00 AM,58.47,62.73,60.02,66.96,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,brand,2025-01-05,44.49,48.43,106.11,3524.43,96.16,84.55,118.7,38.36,67.08,99.83,79.54,ABOVE_AVERAGE,HIGH_DEMAND,4.29,2026-05-06,115.93,20.18,64.1,45.75,112.93,107.65,266.61,11:00 AM,59.16,52.82,55.48,61.82,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,teeoff,2025-01-05,7.68,7.91,102.81,1453.48,63.91,32.58,74.44,45.67,69.75,103.51,-3.18,BELOW_AVERAGE,MEDIUM_DEMAND,4.63,2026-05-04,69.88,62.69,64.51,36.79,105.53,62.19,250.62,11:00 AM,51.75,62.21,55.9,63.64,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,teeoff,2025-01-05,38.37,35.85,99.45,2047.5,46.22,29.96,50.64,37.04,56.98,88.47,-29.26,BELOW_AVERAGE,HIGH_DEMAND,5.31,2026-05-05,37.71,106.03,58.49,42.15,87.04,41.57,241.3,11:00 AM,54.07,54.15,59.9,59.02,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,supremegolf,2025-01-05,78.55,68.24,110.15,8851.34,50.59,48.08,53.92,46.64,72.65,112.32,-36.77,BELOW_AVERAGE,HIGH_DEMAND,4.83,2026-05-04,56.35,29.87,56.47,39.54,90.3,60.69,272.67,11:00 AM,54.13,59.1,64.97,56.61,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,brand,2025-01-05,71.96,65.17,106.11,5015.27,50.26,32.83,69.22,40.62,53.68,90.52,-4.25,BELOW_AVERAGE,HIGH_DEMAND,5.43,2026-05-08,59.33,1.42,56.66,46.1,80.64,67.14,493.39,9:22 AM,58.04,63.3,61.99,71.42,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
ironwood_golf_club,teeoff,2025-01-05,71.46,65.1,104.42,3408.68,50.81,34.51,60.74,36.78,54.59,90.03,-12.38,BELOW_AVERAGE,HIGH_DEMAND,5.11,2026-05-04,53.05,-0.84,62.17,45.14,79.42,55.4,256.88,11:00 AM,53.62,60.41,55.41,56.84,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,supremegolf,2025-01-06,75.38,76.49,115.63,9583.17,67.04,47.22,79.17,39.73,56.36,81.97,17.84,ABOVE_AVERAGE,HIGH_DEMAND,4.85,2026-05-04,67.54,33.43,60.37,43.81,84.97,56.93,224.55,11:00 AM,56.27,58.18,59.96,60.37,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,brand,2025-01-06,31.47,6.79,27.62,728.12,118.35,103.33,124.91,39.24,63.77,114.73,94.87,ABOVE_AVERAGE,LOW_DEMAND,3.04,2026-05-04,57.19,32.74,64.16,39.29,93.83,56.36,238.31,11:00 AM,56.13,61.63,64.35,62.13,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,brand,2025-01-06,66.64,62.58,107.37,7281.47,52.33,37.1,54.79,35.06,62.09,80.16,-15.54,BELOW_AVERAGE,HIGH_DEMAND,4.91,2026-05-04,67.55,31.26,55.6,46.02,96.78,56.45,245.18,11:00 AM,58.69,51.62,65.08,64.72,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,supremegolf,2025-01-06,39.64,-1.2,-1.68,2332.18,45.81,39.66,47.75,42.51,62.11,110.9,-40.53,BELOW_AVERAGE,LOW_DEMAND,2.62,2026-05-04,60.87,32.99,54.95,43.93,103.43,64.34,232.63,11:00 AM,53.6,53.11,55.34,66.54,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,supremegolf,2025-01-06,46.1,50.58,106.64,3046.82,36.8,40.99,42.16,38.87,53.41,87.85,-36.61,BELOW_AVERAGE,HIGH_DEMAND,6.35,2026-05-04,36.52,12.46,53.29,41.3,88.96,42.48,249.78,11:00 AM,58.56,61.26,62.49,63.96,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,brand,2025-01-06,64.48,50.62,117.12,4665.14,64.46,35.26,79.53,47.79,76.0,98.34,-9.01,BELOW_AVERAGE,HIGH_DEMAND,4.33,2026-05-04,69.0,18.12,62.57,42.78,107.98,73.24,481.4,9:37 AM,67.23,68.99,76.5,86.64,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
ironwood_golf_club,supremegolf,2025-01-06,47.23,51.98,107.35,3371.33,57.02,49.16,82.6,44.26,72.94,100.09,-3.0,BELOW_AVERAGE,HIGH_DEMAND,4.24,2026-05-06,61.03,21.29,59.45,47.33,111.49,67.65,249.79,11:00 AM,60.28,62.98,60.52,58.98,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,brand,2025-01-07,118.52,11.47,11.88,1287.55,55.1,37.53,92.44,39.84,68.39,116.26,-16.87,BELOW_AVERAGE,LOW_DEMAND,2.85,2026-05-04,63.94,-0.84,63.08,46.66,111.82,54.11,268.17,11:00 AM,56.0,59.2,55.42,60.91,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,golfnow,2025-01-07,42.02,45.73,114.81,5142.07,103.97,100.32,138.48,41.42,74.25,112.79,71.54,HIGHEST_IN_MARKET,HIGH_DEMAND,4.26,2026-05-08,112.87,89.93,57.58,41.46,110.06,109.8,263.45,11:00 AM,53.66,62.83,62.41,60.76,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,teeoff,2025-01-07,56.62,9.81,21.39,740.42,47.02,31.92,62.23,32.83,63.07,96.61,-10.1,BELOW_AVERAGE,LOW_DEMAND,3.55,2026-05-04,58.96,30.35,63.12,38.91,97.77,63.33,239.82,11:00 AM,51.53,59.79,59.63,66.06,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,teeoff,2025-01-07,43.79,6.48,19.99,5426.15,44.44,33.15,52.43,34.62,49.37,77.48,-25.38,BELOW_AVERAGE,LOW_DEMAND,3.33,2026-05-04,67.45,27.79,57.78,39.22,89.52,63.72,237.19,11:00 AM,54.57,55.11,60.92,62.47,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,golfnow,2025-01-07,62.34,60.63,109.19,6422.01,52.09,29.74,49.23,41.57,66.3,110.1,-41.47,BELOW_AVERAGE,HIGH_DEMAND,5.49,2026-05-04,67.48,31.88,63.47,40.34,100.18,58.51,263.21,11:00 AM,54.94,58.64,54.39,61.68,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,supremegolf,2025-01-07,29.55,24.63,109.14,3145.56,67.2,38.62,104.46,43.85,64.99,112.8,-2.28,BELOW_AVERAGE,MEDIUM_DEMAND,4.68,2026-05-07,54.98,30.41,60.86,48.41,97.78,62.0,202.61,1:37 PM,56.71,74.8,56.59,59.14,NEVER_LISTED,SOLD_OUT,NEVER_LISTED,NEVER_LISTED,SOLD_OUT_EVERYWHERE
ironwood_golf_club,teeoff,2025-01-07,87.24,17.9,22.55,10409.71,53.23,39.3,61.8,37.99,52.02,91.83,-13.37,BELOW_AVERAGE,LOW_DEMAND,3.51,2026-05-08,49.1,-0.78,57.08,38.12,95.13,51.98,225.76,11:00 AM,58.36,53.77,60.5,60.9,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,supremegolf,2025-01-08,61.4,4.61,8.9,783.15,62.65,49.78,84.55,33.92,54.08,86.83,15.4,ABOVE_AVERAGE,LOW_DEMAND,3.23,2026-05-04,64.16,32.46,59.99,38.06,88.05,59.85,228.96,11:00 AM,54.7,53.28,57.21,58.84,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,supremegolf,2025-01-08,45.68,46.1,122.63,4605.37,92.5,94.05,133.62,48.66,63.7,102.28,61.62,ABOVE_AVERAGE,HIGH_DEMAND,3.83,2026-05-05,98.58,16.38,60.76,37.49,94.87,96.97,230.88,11:00 AM,61.38,60.03,55.0,61.53,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,brand,2025-01-08,16.06,14.25,109.38,2939.27,66.45,49.56,64.7,40.61,70.59,98.0,-11.68,BELOW_AVERAGE,HIGH_DEMAND,5.09,2026-05-09,62.88,56.52,69.09,44.24,99.5,61.54,249.26,11:00 AM,57.95,58.19,57.67,68.26,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,brand,2025-01-08,37.97,16.93,58.35,9209.28,45.27,25.63,52.09,34.49,55.61,83.36,-29.71,BELOW_AVERAGE,LOW_DEMAND,4.06,2026-05-10,37.62,17.22,54.9,44.43,89.89,43.83,264.1,11:00 AM,60.14,61.18,55.19,66.05,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,supremegolf,2025-01-08,57.07,56.27,117.88,5593.98,52.65,46.19,55.95,47.47,68.17,112.61,-38.93,BELOW_AVERAGE,HIGH_DEMAND,5.73,2026-05-04,63.47,33.81,55.05,42.64,86.62,65.04,260.88,11:00 AM,56.13,55.42,59.83,66.5,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,golfnow,2025-01-08,77.0,75.93,112.7,9497.47,58.03,35.26,76.72,43.6,54.97,84.12,5.97,ABOVE_AVERAGE,HIGH_DEMAND,5.23,2026-05-05,57.82,5.87,55.23,41.1,92.18,63.81,364.58,3:45 PM,36.16,31.61,40.61,38.49,ADDED_LATER,STILL_AVAILABLE,STILL_AVAILABLE,STILL_AVAILABLE,BRAND_AND_OTA
ironwood_golf_club,golfnow,2025-01-08,96.53,92.7,116.43,9968.55,47.43,42.63,70.6,40.01,63.18,114.22,-21.57,BELOW_AVERAGE,HIGH_DEMAND,5.2,2026-05-04,67.65,30.76,65.06,43.65,88.11,57.15,255.54,11:00 AM,55.51,53.82,65.01,67.03,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,supremegolf,2025-01-09,20.07,18.35,102.9,5611.53,60.57,58.29,62.23,42.41,60.41,115.51,-8.71,BELOW_AVERAGE,MEDIUM_DEMAND,4.96,2026-05-07,65.21,91.64,66.76,42.93,102.25,60.48,270.83,11:00 AM,54.64,58.08,65.62,58.53,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
falcon_crest_golf_club,supremegolf,2025-01-09,60.21,22.17,46.46,8363.98,85.0,79.32,98.1,38.49,57.18,78.35,66.11,HIGHEST_IN_MARKET,LOW_DEMAND,3.23,2026-05-11,84.76,9.27,56.38,42.12,92.32,83.1,242.45,11:00 AM,59.83,52.03,61.33,64.72,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
lakewood_golf_club,golfnow,2025-01-09,27.88,-1.11,-1.81,886.02,46.76,37.47,53.02,38.89,59.72,100.67,-28.71,BELOW_AVERAGE,LOW_DEMAND,2.63,2026-05-04,58.93,28.02,59.88,38.79,93.87,66.03,250.06,11:00 AM,51.71,62.18,54.4,68.07,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
pinehurst_links_club,supremegolf,2025-01-09,16.48,16.85,104.0,1532.18,50.06,25.74,69.1,42.57,71.17,112.52,-39.32,BELOW_AVERAGE,HIGH_DEMAND,5.0,2026-05-04,34.46,92.66,60.99,36.98,102.89,35.6,256.54,11:00 AM,54.84,61.05,61.12,61.0,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
blue_heron_golf_course,brand,2025-01-09,71.42,21.78,40.27,8348.21,39.47,22.98,43.54,40.58,59.59,78.03,-36.24,BELOW_AVERAGE,LOW_DEMAND,4.14,2026-05-11,35.81,7.3,56.5,38.79,91.61,36.52,233.82,11:00 AM,58.08,62.06,56.06,56.57,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
stonegate_golf_club_central,brand,2025-01-09,56.47,56.59,108.75,4772.15,65.2,37.03,75.57,48.74,69.21,107.09,-9.02,BELOW_AVERAGE,HIGH_DEMAND,4.61,2026-05-08,66.02,5.37,69.52,48.03,110.46,65.81,481.21,9:00 AM,54.56,91.22,83.63,94.89,NEVER_LISTED,ADDED_AND_SOLD,ADDED_AND_SOLD,ADDED_AND_SOLD,SOLD_OUT_EVERYWHERE
ironwood_golf_club,golfnow,2025-01-09,93.77,76.62,107.73,12283.75,51.37,43.72,57.63,41.06,53.22,86.54,-12.95,BELOW_AVERAGE,MEDIUM_DEMAND,5.07,2026-05-08,47.63,-0.8,62.33,45.09,94.3,49.98,269.77,11:00 AM,58.64,55.56,54.93,64.5,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
silver_ridge_golf_club_north,brand,2025-01-10,107.43,10.73,11.9,1274.69,56.66,36.34,86.82,40.89,62.27,112.05,-15.68,BELOW_AVERAGE,LOW_DEMAND,3.29,2026-05-06,58.99,6.55,62.99,43.25,118.57,58.46,225.51,11:00 AM,56.31,62.31,60.28,59.13,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT,SOLD_OUT_EVERYWHERE
